ID,項目,テスト内容,テスト手順,期待挙動
1,オンボーディング,業種を選択せずに「始める」を押した場合,"1. アプリを開く 2. 業種を選択せず「無料で診断を始める」を押す","エラーメッセージが表示され、診断に進めない"
2,オンボーディング,全項目入力後に診断に進める,"1. 業種を選択 2. 規模を選択 3. AI利用を入力 4. 「無料で診断を始める」を押す","診断画面（Step 2）に遷移する"
3,診断,25問全て回答するとスコアが表示される,"1. 診断ページを開く 2. 25問全てに回答する 3. 「回答を完了する」を押す","成熟度スコア（1.0-5.0）とカテゴリ別スコアが表示される"
4,診断,回答途中でページ遷移しても回答が保持される,"1. 10問回答する 2. サイドバーで別ページに移動 3. 診断ページに戻る","10問目から再開できる（回答がリセットされない）"
5,診断,全問0点で回答した場合のスコア,"1. 25問全てに最低点（0）で回答する","成熟度スコアが1.0付近、28要件全てが「要対応」になる"
6,診断,全問最高点で回答した場合のスコア,"1. 25問全てに最高点（4）で回答する","成熟度スコアが4.0以上、要対応件数が0になる"
7,ダッシュボード,診断前に表示される内容,"1. 初回アクセス後、ダッシュボードを開く","「まだ診断していません」メッセージと「診断を始める」ボタンが表示される"
8,ダッシュボード,診断後にスコアが表示される,"1. 診断を完了する 2. ダッシュボードを開く","成熟度スコア、対応状況（OK/注意/要対応件数）、対応率が表示される"
9,ダッシュボード,「次にやるべきこと」にAutoFixボタンが表示される,"1. 診断を完了する 2. ダッシュボードを開く","上位3件の改善項目それぞれに「この文書を自動生成する」ボタンが表示される"
10,ダッシュボード,個別AutoFixボタンが動作する,"1. ダッシュボードの「この文書を自動生成する」を押す","該当要件の雛形文書が生成され、ボタンが「生成済み」表示に変わる"
11,改善項目,28要件が一覧表示される,"1. 「改善が必要な項目」ページを開く","28要件が充足(緑)/部分(黄)/未充足(赤)で色分けされて表示される"
12,改善項目,「要対応のみ」フィルタが動作する,"1. フィルタを「要対応のみ」に設定する","未充足の要件のみが表示される"
13,改善項目,各要件の詳細が展開できる,"1. 要件をクリックして展開する","問題の説明、改善アクション、必要証拠書類が表示される"
14,改善項目,「対応完了にする」ボタンが動作する,"1. 要件を展開する 2. 「対応完了にする」を押す","該当要件に「対応完了」マークが付き、対応率が更新される"
15,自動修復,「全て修復を開始する」ボタンが動作する,"1. 自動修復ページを開く 2. 「全て修復を開始する」を押す","プログレスバーが表示され、28件の文書が順次生成される"
16,自動修復,全件修復完了後に結果が表示される,"1. 自動修復を実行する","「28/28 修復完了！」メッセージと生成された文書一覧が表示される"
17,自動修復,生成文書のプレビューが表示される,"1. 修復完了後、文書のExpanderを開く","方針書の全文がMarkdownレンダリングで表示される"
18,自動修復,生成文書に組織名が反映されている,"1. 生成された文書を確認する","組織名（オンボーディングで入力した名前）が文書内に埋め込まれている"
19,自動修復,生成文書を編集できる,"1. 文書のExpanderを開く 2. 「編集する」を押す 3. テキストを変更 4. 「保存」を押す","編集した内容が保存される"
20,自動修復,生成文書を承認できる,"1. 文書のExpanderを開く 2. 「承認する」を押す","ステータスが「ドラフト」から「承認済み」に変わる"
21,自動修復,全文書を一括ダウンロードできる,"1. 修復完了後「全文書をダウンロード」を押す","governance_documents.md がダウンロードされる"
22,自動修復,個別文書をダウンロードできる,"1. 文書のExpanderを開く 2. 「ダウンロード」を押す","該当文書がMarkdownファイルとしてダウンロードされる"
23,AIアドバイザー,質問を入力して回答が得られる,"1. 「AIに質問する」ページを開く 2. 「リスクアセスメントのやり方」と入力 3. 送信","リスクアセスメントに関する回答が表示される"
24,AIアドバイザー,サジェストボタンが動作する,"1. サジェストボタン「ISO 42001認証を取るには？」を押す","ISO 42001認証に関する回答が表示される"
25,AIアドバイザー,APIキー未設定時にFAQが返る,"1. APIキー未設定の状態で質問する","FAQベースの定型回答が返される（エラーにならない）"
26,AIアドバイザー,会話をクリアできる,"1. 数回質問する 2. 「会話をクリア」を押す","会話履歴が全て消える"
27,AIシステム台帳,AIシステムを登録できる,"1. 設定ページを開く 2. システム名/種別を入力 3. 登録ボタンを押す","AIシステムが台帳に追加される"
28,AIシステム台帳,登録済みシステムが一覧表示される,"1. 設定ページを開く","登録済みAIシステムがリスクレベル別に表示される"
29,設定,組織名を変更できる,"1. 設定ページを開く 2. 組織名を変更 3. 保存","組織名が更新され、ダッシュボードにも反映される"
30,設定,データリセットが動作する,"1. 設定ページを開く 2. 「データをリセット」を押す 3. 確認ダイアログでOK","全診断データがリセットされ、オンボーディング画面に戻る"
31,診断(assessment),run_assessmentが正しくスコアを算出する,"1. 25問のAnswerItemを作成 2. run_assessment()を呼ぶ","overall_scoreが0.0-4.0の範囲、category_scoresが10件返る"
32,診断(assessment),全問最低点でmaturity_levelが1,"1. 全問selected_index=0で回答","maturity_level=1"
33,ギャップ分析,run_gap_analysis_syncが動作する,"1. AssessmentResultを作成 2. run_gap_analysis_sync()を呼ぶ","GapAnalysisResultが返る。gaps.lengthが28"
34,ギャップ分析,全問最低点で28要件全てnon_compliant,"1. 全問0点で診断 2. ギャップ分析実行","28要件全てのstatusがnon_compliant"
35,AutoFix,fix_requirementが文書を生成する,"1. AutoFixEngine()を作成 2. fix_requirement('C01-R01', ctx)を呼ぶ","AutoFixResultが返る。generated_documentsが1件以上"
36,AutoFix,28要件全てのfix_requirementが成功する,"1. 28要件全てに対してfix_requirement()を呼ぶ","28件全て成功。エラー0件"
37,AutoFix,生成文書に組織名が含まれる,"1. org_ctx={'org_name': 'テスト株式会社'}でfix_requirement()を呼ぶ","文書contentに「テスト株式会社」が含まれる"
38,監査証跡,イベント記録でハッシュチェーンが正しい,"1. AuditLedgerにイベントを3件記録","verify()がTrue。各イベントのprevious_hashが前イベントのhashと一致"
39,監査証跡,チェーン改竄を検出できる,"1. 3件記録後に中間イベントのデータを改竄 2. verify()を呼ぶ","verify()がFalse（改竄検出）"
40,チーム管理,メンバー追加・削除ができる,"1. add_member()を呼ぶ 2. list_members()で確認 3. remove_member()で削除","追加→一覧に表示→削除後に一覧から消える"
41,チーム管理,ロール別の権限チェックが動作する,"1. viewerロールのメンバーを追加 2. has_permission('manage_team')を確認","viewerはmanage_team権限がない（False）"
42,業界ベンチマーク,k-anonymity(k>=5)が保証される,"1. 4社分のデータを登録 2. get_industry_benchmark()を呼ぶ","「データ不足」でベンチマーク非表示（5社未満は返さない）"
43,時系列追跡,スナップショットを保存・取得できる,"1. save_snapshot()を呼ぶ 2. get_timeline()を呼ぶ","タイムラインにスナップショットが含まれる"
44,定期レビュー,レビューサイクルの作成・進行ができる,"1. create_review_cycle()で四半期レビューを作成 2. advance_next_review()を呼ぶ","next_review_dateが90日後に更新される"
45,承認ワークフロー,承認リクエストの作成・処理ができる,"1. create_approval_request()を呼ぶ 2. process_approval()でapproveする","ステータスがpending→approvedに変わる"
46,インシデント管理,インシデントの作成・更新ができる,"1. create_incident()を呼ぶ 2. update_incident()でステータスを変更","ステータスがopen→investigating→resolvedに遷移"
47,月次レポート,月次レポートが自動生成される,"1. generate_monthly_report()を呼ぶ","スコア変動/Gap状況/インシデント統計/推奨アクションを含むレポートが生成"
48,パターン学習,Gapパターンの記録・マッチングが動作する,"1. record_gap_patterns()を呼ぶ 2. get_pattern_matches()を呼ぶ","同業他社のGapパターンに基づく改善提案が返る"
49,規制変更モニター,規制変更のインパクト分析ができる,"1. register_update()で変更を登録 2. analyze_impact()を呼ぶ","影響を受ける要件と予測スコア変動が返る"
50,スコア予測,将来のスコアを予測できる,"1. 複数のスナップショットを登録 2. predict_score()を呼ぶ","線形回帰ベースの予測スコアとLevel3到達予測が返る"
